Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
LGBT,Test1,E,Gay,0,1846008,0,179,5982,29
lesbian,Test1,E,Gay,0,1674347,0,179,7656,30
disgusting,Test1,I,Bad,0,03205872,0,179,7977,31
LGBT,Test1,E,Gay,0,1443329,0,179,942,32
delightful,Test1,E,Good,0,1911621,1,0,1430817,33
wonderful,Test1,E,Good,0,1842499,1,0,1517334,34
bisexual,Test1,E,Gay,0,1762085,1,0,1430054,35
disgusting,Test1,I,Bad,0,04052734,0,180,5341,36
lesbian,Test1,E,Gay,0,1441498,0,180,6783,37
amazing,Test1,E,Good,0,1990967,1,0,1593781,38
lovely,Test1,E,Good,0,2169037,1,0,1929779,39
amazing,Test1,E,Good,0,1920776,1,0,1200867,40
delightful,Test1,E,Good,0,1750488,1,0,135498,41
amazing,Test1,E,Good,0,1843872,1,0,1200409,42
great,Test1,E,Good,0,207962,1,0,1602631,43
homosexuality,Test1,E,Gay,0,2004242,1,0,1525269,44
pleasant,Test1,E,Good,0,1834717,1,0,143158,45
gay,Test1,E,Gay,0,2483521,2,0,04032898,46
shameful,Test1,I,Bad,0,128006,0,182,614,47
gay,Test1,E,Gay,0,08848572,0,182,7025,48
bisexuality,Test1,E,Gay,0,1916199,1,0,103241,49
pleasant,Test1,E,Good,0,1914825,1,0,1195831,50
homosexuality,Test1,E,Gay,0,2081757,1,0,1352539,51
pleasant,Test1,E,Good,0,1760559,1,0,1352234,52
enjoyable,Test1,E,Good,0,1917725,1,0,1438293,53
beautiful,Test1,E,Good,0,1849518,1,0,1526642,54
queer,Test1,E,Gay,0,1754913,1,0,1355438,55
lesbianism,Test1,E,Gay,0,1921997,1,0,1594849,56
enjoyable,Test1,E,Good,0,2637634,2,0,0640564,57
bisexual,Test1,E,Gay,0,2078094,1,0,07974243,58
enjoyable,Test1,E,Good,0,1921692,1,0,06384277,59
beautiful,Test1,E,Good,0,2253265,1,0,08900452,60
gross,Test1,I,Bad,0,07951355,0,185,1828,61
queer,Test1,E,Gay,0,1029663,0,185,2858,62
beautiful,Test1,E,Good,0,1844788,1,0,0880127,63
LGBT,Test1,E,Gay,0,2077942,1,0,1193848,64
gay,Test1,E,Gay,0,1837311,1,0,1355591,65
awful,Test1,I,Bad,0,08042908,0,185,9422,66
lesbianism,Test1,E,Gay,0,1198273,0,186,0621,67
queer,Test1,E,Gay,0,2164459,1,0,1603699,68

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
bisexual,Practice2,I,Gay,0,1909332,1,0,03942871,0
disgusting,Practice2,I,Bad,0,5041504,0,187,0221,1
lesbian,Practice2,I,Gay,0,2805939,1,0,1360779,2
LGBT,Practice2,I,Gay,0,1674652,1,0,0962677,3
wonderful,Practice2,E,Good,0,08837891,0,187,5586,4
perverted,Practice2,I,Bad,0,07203674,0,187,6306,5
immoral,Practice2,I,Bad,0,1843567,1,0,07263184,6
great,Practice2,E,Good,0,1119843,0,187,927,7
bisexuality,Practice2,I,Gay,0,07255554,0,187,9995,8
shameful,Practice2,I,Bad,0,1918793,1,0,08084106,9
gross,Practice2,I,Bad,0,2154694,1,0,08843994,10
lovely,Practice2,E,Good,0,1194,0,188,5263,11
lesbianism,Practice2,I,Gay,0,0716095,0,188,5979,12
evil,Practice2,I,Bad,0,2085266,1,0,0962677,13
queer,Practice2,I,Gay,0,2012939,1,0,06538391,14
beautiful,Practice2,E,Good,0,1271515,0,189,1348,15
delightful,Practice2,E,Good,0,1755981,1,0,1359558,16
gay,Practice2,I,Gay,0,05606079,0,189,3665,17
homosexuality,Practice2,I,Gay,0,18367,1,0,04800415,18
awful,Practice2,I,Bad,0,216629,1,0,08044434,19
enjoyable,Practice2,E,Good,0,1277924,0,189,8946,20
pleasant,Practice2,E,Good,0,2078247,1,0,1437988,21
amazing,Practice2,E,Good,0,1839142,1,0,1035919,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
lesbianism,Test2,I,Gay,0,08943176,0,190,3758,0
disgusting,Test2,I,Bad,0,1829681,1,0,07138062,1
queer,Test2,I,Gay,0,2005005,1,0,06478882,2
queer,Test2,I,Gay,0,1992188,1,0,03967285,3
bisexual,Test2,I,Gay,0,249115,1,0,08886719,4
shameful,Test2,I,Bad,0,1829834,1,0,03926086,5
delightful,Test2,E,Good,0,1279144,0,191,5185,6
lesbianism,Test2,I,Gay,0,06459045,0,191,5831,7
lovely,Test2,E,Good,0,136261,0,191,7193,8
beautiful,Test2,E,Good,0,1912842,1,0,1184845,9
delightful,Test2,E,Good,0,224762,1,0,1363525,10
beautiful,Test2,E,Good,0,199295,1,0,127655,11
wonderful,Test2,E,Good,0,2963562,1,0,1279297,12
shameful,Test2,I,Bad,0,05615234,0,192,6872,13
bisexual,Test2,I,Gay,0,1915131,1,0,03965759,14
awful,Test2,I,Bad,0,2239685,1,0,05526733,15
pleasant,Test2,E,Good,0,151886,0,193,2545,16
LGBT,Test2,I,Gay,0,04858398,0,193,3031,17
evil,Test2,I,Bad,0,5284729,1,0,3517456,18
immoral,Test2,I,Bad,0,2157898,1,0,08810425,19
great,Test2,E,Good,0,1281891,0,194,1756,20
disgusting,Test2,I,Bad,0,0637207,0,194,2393,21
bisexuality,Test2,I,Gay,0,4806976,2,0,1042023,22
bisexual,Test2,I,Gay,0,2074432,1,0,09671021,23
lovely,Test2,E,Good,0,1362457,0,195,0637,24
queer,Test2,I,Gay,0,05592346,0,195,1196,25
lesbian,Test2,I,Gay,0,2001038,1,0,04049683,26
evil,Test2,I,Bad,0,2243805,1,0,07278442,27
shameful,Test2,I,Bad,0,2155151,1,0,08830261,28
LGBT,Test2,I,Gay,0,2242279,1,0,08753967,29
homosexuality,Test2,I,Gay,0,3756409,1,0,2565155,30
lovely,Test2,E,Good,0,1208038,0,196,4803,31
enjoyable,Test2,E,Good,0,2071533,1,0,05609131,32
gay,Test2,I,Gay,0,1118164,0,196,7992,33
amazing,Test2,E,Good,0,1117249,0,196,911,34
gay,Test2,I,Gay,0,08065796,0,196,9916,35
great,Test2,E,Good,0,1199341,0,197,1116,36
awful,Test2,I,Bad,0,1119537,0,197,2235,37
LGBT,Test2,I,Gay,0,2004547,1,0,07307434,38
lesbian,Test2,I,Gay,0,2237396,1,0,09628296,39
beautiful,Test2,E,Good,0,1197662,0,197,7675,40
bisexuality,Test2,I,Gay,0,08821106,0,197,8557,41
homosexuality,Test2,I,Gay,0,2159729,1,0,08836365,42
immoral,Test2,I,Bad,0,1838989,1,0,03222656,43
awful,Test2,I,Bad,0,3040466,1,0,1122894,44
perverted,Test2,I,Bad,0,2400818,1,0,09648132,45
amazing,Test2,E,Good,0,1049805,0,198,9047,46
perverted,Test2,I,Bad,0,08786011,0,198,9925,47
delightful,Test2,E,Good,0,1113739,0,199,1039,48
gross,Test2,I,Bad,0,1042328,0,199,2081,49
amazing,Test2,E,Good,0,1194153,0,199,3275,50
disgusting,Test2,I,Bad,0,07206726,0,199,3996,51
gay,Test2,I,Gay,0,2241364,1,0,07144165,52
enjoyable,Test2,E,Good,0,1277466,0,199,7515,53
gross,Test2,I,Bad,0,2006836,0,199,9522,54
gross,Test2,I,Bad,0,2319031,1,0,1352234,55
pleasant,Test2,E,Good,0,1125488,0,200,2966,56
immoral,Test2,I,Bad,0,09527588,0,200,3919,57
bisexuality,Test2,I,Gay,0,2080231,1,0,07113647,58
lesbian,Test2,I,Gay,0,208252,1,0,08074951,59
homosexuality,Test2,I,Gay,0,2084503,1,0,06416321,60
wonderful,Test2,E,Good,0,1356659,0,201,1523,61
perverted,Test2,I,Bad,0,07194519,0,201,2242,62
great,Test2,E,Good,0,1522064,0,201,3764,63
wonderful,Test2,E,Good,0,3035583,1,0,2314148,64
pleasant,Test2,E,Good,0,2805481,1,0,1366425,65
evil,Test2,I,Bad,0,1044159,0,202,065,66
enjoyable,Test2,E,Good,0,1589661,0,202,2239,67
lesbianism,Test2,I,Gay,0,07241821,0,202,2964,68



Version,Gay
Game won,No
Date,01.12.2022 0:00:00
Version,Gay

